,Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
4,2019-11-01,954.0,869.3746948242188,,-3.7083740234375,-1.0,,
9,2019-10-25,929.1,873.0830688476562,24.899999999999977,1.6192626953125,1.0,24.899999999999977,133.79999999999984
14,2019-10-18,892.3,871.4638061523438,36.80000000000007,-22.63525390625,-1.0,-36.80000000000007,108.89999999999986
19,2019-10-11,895.5,894.0990600585938,-3.2000000000000455,-25.40447998046875,-1.0,3.2000000000000455,145.69999999999993
24,2019-10-04,881.7,919.5035400390625,13.799999999999955,14.63519287109375,1.0,13.799999999999955,142.4999999999999
29,2019-09-27,931.0,904.8683471679688,-49.299999999999955,-16.981201171875,-1.0,49.299999999999955,128.69999999999993
34,2019-09-20,942.6,921.8495483398438,-11.600000000000023,21.2938232421875,1.0,-11.600000000000023,79.39999999999998
39,2019-09-13,952.2,900.5557250976562,-9.600000000000023,55.1280517578125,1.0,-9.600000000000023,91.0
44,2019-09-06,958.5,845.4276733398438,-6.2999999999999545,8.57965087890625,1.0,-6.2999999999999545,100.60000000000002
48,2019-08-30,931.7,836.8480224609375,26.799999999999955,-15.3951416015625,-1.0,-26.799999999999955,106.89999999999998
53,2019-08-23,855.3,852.2431640625,76.40000000000009,4.12933349609375,1.0,76.40000000000009,133.69999999999993
58,2019-08-16,851.5,848.1138305664062,3.7999999999999545,-11.79052734375,-1.0,-3.7999999999999545,57.29999999999984
63,2019-08-09,863.8,859.9043579101562,-12.299999999999955,20.6629638671875,1.0,-12.299999999999955,61.099999999999795
68,2019-08-02,853.0,839.2413940429688,10.799999999999955,16.82525634765625,1.0,10.799999999999955,73.39999999999975
73,2019-07-26,862.7,822.4161376953125,-9.700000000000045,14.920166015625,1.0,-9.700000000000045,62.599999999999795
78,2019-07-19,845.9,807.4959716796875,16.800000000000068,-6.76483154296875,-1.0,-16.800000000000068,72.29999999999984
83,2019-07-12,828.4,814.2608032226562,17.5,33.48480224609375,1.0,17.5,89.09999999999991
88,2019-07-05,805.2,780.7760009765625,23.199999999999932,0.0,0.0,0.0,71.59999999999991
92,2019-06-28,835.5,780.7760009765625,-30.299999999999955,-8.3653564453125,-1.0,30.299999999999955,71.59999999999991
97,2019-06-21,811.0,789.141357421875,24.5,-8.7913818359375,-1.0,-24.5,41.299999999999955
102,2019-06-14,804.7,797.9327392578125,6.2999999999999545,5.1806640625,1.0,6.2999999999999545,65.79999999999995
107,2019-06-07,806.1,792.7520751953125,-1.3999999999999773,-26.04400634765625,-1.0,1.3999999999999773,59.5
112,2019-05-31,794.2,818.7960815429688,11.899999999999977,-30.95538330078125,-1.0,-11.899999999999977,58.10000000000002
116,2019-05-24,800.6,849.75146484375,-6.399999999999977,-12.94561767578125,-1.0,6.399999999999977,70.0
121,2019-05-17,818.4,862.6970825195312,-17.799999999999955,-25.3333740234375,-1.0,17.799999999999955,63.60000000000002
126,2019-05-10,862.4,888.0304565429688,-44.0,-0.00616455078125,-1.0,44.0,45.80000000000007
131,2019-05-03,871.6,888.03662109375,-9.200000000000045,2.42791748046875,1.0,-9.200000000000045,1.8000000000000682
136,2019-04-26,898.2,885.6087036132812,-26.600000000000023,38.53314208984375,1.0,-26.600000000000023,11.000000000000114
145,2019-04-12,893.2,847.0755615234375,5.0,-4.43914794921875,-1.0,-5.0,37.600000000000136
150,2019-04-05,901.0,851.5147094726562,-7.7999999999999545,27.8458251953125,1.0,-7.7999999999999545,42.600000000000136
155,2019-03-29,848.9,823.6688842773438,52.10000000000002,16.166748046875,1.0,52.10000000000002,50.40000000000009
160,2019-03-22,847.2,807.5021362304688,1.6999999999999318,-33.77972412109375,-1.0,-1.6999999999999318,-1.6999999999999318
165,2019-03-15,830.3,841.2818603515625,16.90000000000009,,,,
